sym_tag,po_tag,eff_tag,n,beta1_OR,poregbias,poregcov,poregp,wpbias,wpcov,wpp,bin7bias,bin7cov,bin7p,linbias,lincov,linp,pobiasz,wpbiasz,bin7biasz,linbiasz,nonPO_d0_bias,nonPO_d15_bias,nonPO_d30_bias,nonPO_d0_Zbias,nonPO_d15_Zbias,nonPO_d30_Zbias,nonPO_d0_cov,nonPO_d15_cov,nonPO_d30_cov,nonPO_d0_pow,nonPO_d15_pow,nonPO_d30_pow,sumnonpoErrFlag,nonPO_pow,nonpoLRTpower,nonpoConvProp
Symmetric,POViolated,strengthenedeffects,300,0.6,-0.1643,88%,92%,-0.0255,87%,92%,-0.0069,96%,91%,-0.0006,96%,94%,32%,-6%,1%,0%,-0.0093,-0.0049,-0.0139,2%,1%,2%,96%,96%,96%,46%,87%,90%,0,96%,70%,100%
Symmetric,POViolated,strengthenedeffects,300,0.7,-0.1692,87%,73%,-0.0269,87%,73%,-0.0085,96%,77%,0.0008,96%,76%,47%,-6%,1%,0%,-0.0077,-0.0030,-0.0095,2%,1%,1%,95%,96%,95%,26%,65%,74%,0,84%,49%,100%
Symmetric,POViolated,strengthenedeffects,300,0.8,-0.1738,87%,48%,-0.0279,87%,48%,-0.006,96%,56%,0.0017,96%,52%,78%,-6%,1%,0%,-0.0049,-0.0017,-0.0079,2%,0%,2%,95%,96%,95%,13%,40%,57%,1,65%,32%,100%
Symmetric,POViolated,strengthenedeffects,300,0.9,-0.1775,86%,27%,-0.0287,86%,28%,-0.0015,96%,37%,0.0021,97%,30%,168%,-6%,0%,0%,-0.0019,-0.0009,-0.0049,2%,0%,1%,94%,97%,95%,8%,22%,38%,0,44%,21%,100%
Symmetric,POViolated,strengthenedeffects,300,1,0.1951,85%,15%,0.0315,85%,15%,0.0022,96%,25%,0.0025,96%,15%,-,-,-,-,-0.0020,0.0004,-0.0060,-,-,-,95%,96%,96%,5%,10%,25%,109,32%,24%,89%
Symmetric,POMet,attenuatedeffects,300,0.5,-0.0051,96%,94%,-0.0003,96%,94%,-0.0071,96%,81%,0.0005,96%,94%,1%,0%,1%,0%,-0.0086,-0.0050,-0.0102,1%,1%,1%,95%,96%,96%,75%,91%,78%,0,96%,64%,100%
Symmetric,POMet,attenuatedeffects,300,0.6,-0.0043,96%,71%,-0.0005,95%,71%,-0.005,96%,54%,0.0013,96%,71%,1%,0%,1%,0%,-0.0093,-0.0030,-0.0067,2%,1%,1%,96%,96%,95%,46%,66%,55%,0,78%,34%,100%
Symmetric,POMet,attenuatedeffects,300,0.7,-0.0027,96%,40%,-0.0003,96%,40%,-0.0025,96%,29%,0.0028,96%,40%,1%,0%,1%,0%,-0.0077,-0.0011,-0.0037,2%,0%,1%,95%,96%,95%,26%,36%,30%,0,52%,19%,100%
Symmetric,POMet,attenuatedeffects,300,0.8,-0.0014,96%,18%,-0.0002,96%,19%,-0.002,96%,14%,0.0028,96%,19%,1%,0%,1%,-1%,-0.0046,-0.0002,-0.0005,2%,0%,0%,95%,96%,96%,13%,16%,14%,2,28%,8%,100%
Symmetric,POMet,attenuatedeffects,300,0.9,0.0003,96%,8%,0.0001,96%,8%,-0.0003,96%,7%,0.0039,96%,8%,0%,0%,0%,-2%,-0.0010,0.0010,0.0005,1%,-1%,0%,94%,96%,95%,8%,8%,7%,4,17%,6%,100%
Symmetric,POMet,attenuatedeffects,300,1,0.0004,96%,4%,0.0001,96%,4%,-0.0011,96%,4%,0.0025,96%,5%,-,-,-,-,-0.0020,0.0004,-0.0060,-,-,-,95%,96%,96%,5%,4%,4%,5,11%,5%,100%
Symmetric,POViolated,attenuatedeffects,300,0.5,0.1605,89%,73%,0.0257,90%,74%,-0.0021,96%,35%,0.0015,96%,69%,-23%,7%,1%,0%,-0.0090,-0.0050,-0.0064,1%,1%,2%,95%,96%,96%,75%,71%,36%,4,85%,62%,100%
Symmetric,POViolated,attenuatedeffects,300,0.6,0.1701,88%,37%,0.0274,88%,38%,-0.0014,96%,13%,0.0035,96%,32%,-33%,7%,1%,-1%,-0.0138,-0.0065,-0.0083,3%,2%,4%,96%,96%,96%,46%,38%,13%,26,56%,39%,97%
